slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
4411_11013_07:00,4411,Deuce Arena,11013,Padel Court A,2026-09-23,07:00 - 08:00,70000,Available
4411_11617_07:00,4411,Deuce Arena,11617,Padel Court B,2026-09-23,07:00 - 08:00,70000,Available
4411_11618_07:00,4411,Deuce Arena,11618,Padel Court C,2026-09-23,07:00 - 08:00,70000,Available
4411_11621_07:00,4411,Deuce Arena,11621,Doubles Court 1,2026-09-23,07:00 - 08:00,200000,Available
4411_11622_07:00,4411,Deuce Arena,11622,Doubles Court 2,2026-09-23,07:00 - 08:00,200000,Available
4411_11619_07:00,4411,Deuce Arena,11619,Singles Court 1,2026-09-23,07:00 - 08:00,150000,Available
4411_11620_07:00,4411,Deuce Arena,11620,Singles Court 2,2026-09-23,07:00 - 08:00,150000,Available
2422_5202_06:00,2422,Nordic Courts,5202,Tennis 1,2026-09-23,06:00 - 07:00,185000,Booked
2422_5202_07:00,2422,Nordic Courts,5202,Tennis 1,2026-09-23,07:00 - 08:00,185000,Booked
2422_7140_06:00,2422,Nordic Courts,7140,Tennis 2,2026-09-23,06:00 - 07:00,185000,Available
2422_7140_07:00,2422,Nordic Courts,7140,Tennis 2,2026-09-23,07:00 - 08:00,185000,Available
2422_5205_06:00,2422,Nordic Courts,5205,Padel A,2026-09-23,06:00 - 07:00,99000,Available
2422_5205_07:00,2422,Nordic Courts,5205,Padel A,2026-09-23,07:00 - 08:00,99000,Booked
2422_7149_06:00,2422,Nordic Courts,7149,Padel B,2026-09-23,06:00 - 07:00,99000,Available
2422_7149_07:00,2422,Nordic Courts,7149,Padel B,2026-09-23,07:00 - 08:00,99000,Available
2422_7150_06:00,2422,Nordic Courts,7150,Padel C,2026-09-23,06:00 - 07:00,99000,Available
2422_7150_07:00,2422,Nordic Courts,7150,Padel C,2026-09-23,07:00 - 08:00,99000,Available
2422_7151_06:00,2422,Nordic Courts,7151,Padel D,2026-09-23,06:00 - 07:00,99000,Available
2422_7151_07:00,2422,Nordic Courts,7151,Padel D,2026-09-23,07:00 - 08:00,99000,Available
2110_4356_06:00,2110,Hobi Padel Meruya,4356,Court 1,2026-09-23,06:00 - 07:00,98000,Available
2110_4356_07:00,2110,Hobi Padel Meruya,4356,Court 1,2026-09-23,07:00 - 08:00,118000,Available
2110_6157_06:00,2110,Hobi Padel Meruya,6157,Court 2,2026-09-23,06:00 - 07:00,98000,Available
2110_6157_07:00,2110,Hobi Padel Meruya,6157,Court 2,2026-09-23,07:00 - 08:00,118000,Available
