slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
2079_4306_06:00,2079,I On Padel Cempaka Putih,4306,Court 1,2026-09-26,06:00 - 07:00,200000,Available
2079_4306_07:00,2079,I On Padel Cempaka Putih,4306,Court 1,2026-09-26,07:00 - 08:00,200000,Available
2079_5740_06:00,2079,I On Padel Cempaka Putih,5740,Court 2,2026-09-26,06:00 - 07:00,200000,Available
2079_5740_07:00,2079,I On Padel Cempaka Putih,5740,Court 2,2026-09-26,07:00 - 08:00,200000,Booked
2079_5741_06:00,2079,I On Padel Cempaka Putih,5741,Court 3,2026-09-26,06:00 - 07:00,200000,Available
2079_5741_07:00,2079,I On Padel Cempaka Putih,5741,Court 3,2026-09-26,07:00 - 08:00,200000,Available
2978_6890_06:00,2978,The Space Padel,6890,The Court,2026-09-26,06:00 - 07:00,180000,Available
2978_6890_07:00,2978,The Space Padel,6890,The Court,2026-09-26,07:00 - 08:00,180000,Booked
1401_2699_06:00,1401,Ocean Padel,2699,Lapangan Padel 1,2026-09-26,06:00 - 07:00,160000,Available
1401_2699_07:00,1401,Ocean Padel,2699,Lapangan Padel 1,2026-09-26,07:00 - 08:00,160000,Available
1670_3405_07:00,1670,Amalfi Court By VY,3405,Positano,2026-09-26,07:00 - 08:00,150000,Available
1670_3407_07:00,1670,Amalfi Court By VY,3407,Napoli,2026-09-26,07:00 - 08:00,150000,Available
3256_7813_06:00,3256,AbsoluteFit Padel,7813,Blue Court,2026-09-26,06:00 - 07:00,150000,Available
3256_7813_07:00,3256,AbsoluteFit Padel,7813,Blue Court,2026-09-26,07:00 - 08:00,150000,Available
3256_9058_06:00,3256,AbsoluteFit Padel,9058,Pink Court,2026-09-26,06:00 - 07:00,150000,Available
3256_9058_07:00,3256,AbsoluteFit Padel,9058,Pink Court,2026-09-26,07:00 - 08:00,150000,Available
2712_6126_06:00,2712,Royal Padel,6126,Avalon by AMIDIS,2026-09-26,06:00 - 07:00,335000,Available
2712_6126_07:00,2712,Royal Padel,6126,Avalon by AMIDIS,2026-09-26,07:00 - 08:00,335000,Available
2712_6629_06:00,2712,Royal Padel,6629,Balmoral Court,2026-09-26,06:00 - 07:00,335000,Available
2712_6629_07:00,2712,Royal Padel,6629,Balmoral Court,2026-09-26,07:00 - 08:00,335000,Available
2712_6630_06:00,2712,Royal Padel,6630,Clifford Court,2026-09-26,06:00 - 07:00,335000,Available
2712_6630_07:00,2712,Royal Padel,6630,Clifford Court,2026-09-26,07:00 - 08:00,335000,Available
2712_6631_06:00,2712,Royal Padel,6631,Dover by DURAKING,2026-09-26,06:00 - 07:00,335000,Available
2712_6631_07:00,2712,Royal Padel,6631,Dover by DURAKING,2026-09-26,07:00 - 08:00,335000,Available
2026_4300_07:00,2026,Royal Sport Hall,4300,Padel Court,2026-09-26,07:00 - 08:00,200000,Available
2026_4300_08:00,2026,Royal Sport Hall,4300,Padel Court,2026-09-26,08:00 - 09:00,200000,Available
2026_4410_07:00,2026,Royal Sport Hall,4410,Lapangan 1,2026-09-26,07:00 - 08:00,80000,Available
2026_4410_08:00,2026,Royal Sport Hall,4410,Lapangan 1,2026-09-26,08:00 - 09:00,80000,Booked
2026_4411_07:00,2026,Royal Sport Hall,4411,Lapangan 2,2026-09-26,07:00 - 08:00,80000,Available
2026_4411_08:00,2026,Royal Sport Hall,4411,Lapangan 2,2026-09-26,08:00 - 09:00,80000,Booked
2026_4412_07:00,2026,Royal Sport Hall,4412,Lapangan 3,2026-09-26,07:00 - 08:00,80000,Available
2026_4412_08:00,2026,Royal Sport Hall,4412,Lapangan 3,2026-09-26,08:00 - 09:00,80000,Booked
2619_5734_06:00,2619,Bara Padel Court,5734,Court 1,2026-09-26,06:00 - 07:00,119000,Available
2619_5734_07:00,2619,Bara Padel Court,5734,Court 1,2026-09-26,07:00 - 08:00,119000,Available
2619_7790_06:00,2619,Bara Padel Court,7790,Court 2,2026-09-26,06:00 - 07:00,119000,Booked
2619_7790_07:00,2619,Bara Padel Court,7790,Court 2,2026-09-26,07:00 - 08:00,119000,Booked
3077_7192_06:00,3077,Padelyuk,7192,Bandeja Court,2026-09-26,06:00 - 07:00,190000,Available
3077_7192_07:00,3077,Padelyuk,7192,Bandeja Court,2026-09-26,07:00 - 08:00,190000,Booked
3077_7208_06:00,3077,Padelyuk,7208,Vibora Court,2026-09-26,06:00 - 07:00,190000,Available
3077_7208_07:00,3077,Padelyuk,7208,Vibora Court,2026-09-26,07:00 - 08:00,190000,Booked
3077_7209_06:00,3077,Padelyuk,7209,Bajada Court,2026-09-26,06:00 - 07:00,190000,Available
