slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
1006_9398_06:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,06:00 - 07:00,260000,Booked
1006_9398_07:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,07:00 - 08:00,260000,Booked
1006_9398_08:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,08:00 - 09:00,260000,Booked
1006_9398_09:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,09:00 - 10:00,260000,Booked
1006_9398_10:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,10:00 - 11:00,235000,Booked
1006_9398_11:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,11:00 - 12:00,235000,Available
1006_9398_12:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,12:00 - 13:00,235000,Available
1006_9398_13:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,13:00 - 14:00,235000,Available
1006_9398_14:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,14:00 - 15:00,235000,Available
1006_9398_15:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,15:00 - 16:00,235000,Available
1006_9398_16:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,16:00 - 17:00,285000,Booked
1006_9398_17:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,17:00 - 18:00,285000,Booked
1006_9398_18:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,18:00 - 20:00,627000,Booked
1006_9398_20:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,20:00 - 21:00,285000,Booked
1006_9398_21:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,21:00 - 22:00,285000,Booked
1006_9398_22:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,22:00 - 23:00,285000,Available
1006_9398_23:00,1006,Wins Arena - Kuningan,9398,Tennis Indoor - Aqua,2026-09-17,23:00 - 00:00,285000,Available
1006_1743_06:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,06:00 - 07:00,260000,Booked
1006_1743_07:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,07:00 - 08:00,260000,Booked
1006_1743_08:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,08:00 - 09:00,260000,Booked
1006_1743_09:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,09:00 - 10:00,260000,Booked
1006_1743_10:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,10:00 - 11:00,235000,Booked
1006_1743_11:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,11:00 - 12:00,235000,Available
1006_1743_12:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,12:00 - 13:00,235000,Booked
1006_1743_13:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,13:00 - 14:00,235000,Available
1006_1743_14:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,14:00 - 15:00,235000,Booked
1006_1743_15:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,15:00 - 16:00,235000,Booked
1006_1743_16:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,16:00 - 17:00,285000,Booked
1006_1743_17:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,17:00 - 18:00,285000,Booked
1006_1743_18:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,18:00 - 20:00,570000,Booked
1006_1743_20:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,20:00 - 21:00,285000,Booked
1006_1743_21:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,21:00 - 22:00,285000,Booked
1006_1743_22:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,22:00 - 23:00,285000,Available
1006_1743_23:00,1006,Wins Arena - Kuningan,1743,Tennis Indoor - Mizone,2026-09-17,23:00 - 00:00,285000,Available
1006_3071_06:00,1006,Wins Arena - Kuningan,3071,Tennis Outdoor - 1,2026-09-17,06:00 - 07:00,135000,Booked
1006_3071_07:00,1006,Wins Arena - Kuningan,3071,Tennis Outdoor - 1,2026-09-17,07:00 - 08:00,135000,Booked
1006_3071_08:00,1006,Wins Arena - Kuningan,3071,Tennis Outdoor - 1,2026-09-17,08:00 - 09:00,135000,Booked
1006_3071_09:00,1006,Wins Arena - Kuningan,3071,Tennis Outdoor - 1,2026-09-17,09:00 - 10:00,135000,Available
1006_3071_10:00,1006,Wins Arena - Kuningan,3071,Tennis Outdoor - 1,2026-09-17,10:00 - 11:00,135000,Available
