slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
3117_7369_07:00,3117,HDR Padel,7369,Court 1,2026-09-24,07:00 - 08:00,125000,Available
3117_7622_07:00,3117,HDR Padel,7622,Court 2,2026-09-24,07:00 - 08:00,125000,Available
3758_9284_06:00,3758,ZAGO PADEL,9284,Court A,2026-09-24,06:00 - 07:00,99000,Available
3758_9284_07:00,3758,ZAGO PADEL,9284,Court A,2026-09-24,07:00 - 08:00,99000,Available
3758_9304_06:00,3758,ZAGO PADEL,9304,COURT B,2026-09-24,06:00 - 07:00,99000,Available
3758_9304_07:00,3758,ZAGO PADEL,9304,COURT B,2026-09-24,07:00 - 08:00,99000,Available
3758_9305_06:00,3758,ZAGO PADEL,9305,COURT C,2026-09-24,06:00 - 07:00,99000,Available
3758_9305_07:00,3758,ZAGO PADEL,9305,COURT C,2026-09-24,07:00 - 08:00,99000,Available
3758_9306_06:00,3758,ZAGO PADEL,9306,COURT D,2026-09-24,06:00 - 07:00,99000,Available
3758_9306_07:00,3758,ZAGO PADEL,9306,COURT D,2026-09-24,07:00 - 08:00,99000,Available
2701_6035_06:00,2701,Far East Padel - GROVES,6035,Court - One,2026-09-24,06:00 - 07:00,125000,Available
2701_6035_07:00,2701,Far East Padel - GROVES,6035,Court - One,2026-09-24,07:00 - 08:00,125000,Available
2701_6036_06:00,2701,Far East Padel - GROVES,6036,Court - Two,2026-09-24,06:00 - 07:00,125000,Booked
2701_6036_07:00,2701,Far East Padel - GROVES,6036,Court - Two,2026-09-24,07:00 - 08:00,125000,Booked
2701_6037_06:00,2701,Far East Padel - GROVES,6037,Court - Three,2026-09-24,06:00 - 07:00,125000,Available
2701_6037_07:00,2701,Far East Padel - GROVES,6037,Court - Three,2026-09-24,07:00 - 08:00,125000,Booked
2274_6930_07:00,2274,Far East Padel - HERO,6930,Court - One,2026-09-24,07:00 - 08:00,125000,Booked
2274_6930_08:00,2274,Far East Padel - HERO,6930,Court - One,2026-09-24,08:00 - 09:00,125000,Available
2274_6933_07:00,2274,Far East Padel - HERO,6933,Court - Two,2026-09-24,07:00 - 08:00,125000,Available
2274_6933_08:00,2274,Far East Padel - HERO,6933,Court - Two,2026-09-24,08:00 - 09:00,125000,Available
2274_6929_07:00,2274,Far East Padel - HERO,6929,Court - Three,2026-09-24,07:00 - 08:00,125000,Available
2274_6929_08:00,2274,Far East Padel - HERO,6929,Court - Three,2026-09-24,08:00 - 09:00,125000,Available
