slot_key,venue_id,venue_name,field_id,field_name,date,time_slot,price,status
4179_10310_06:00,4179,The Raquette Temple Sunter,10310,Tennis Court,2026-09-22,06:00 - 07:00,380000,Booked
4179_10310_07:00,4179,The Raquette Temple Sunter,10310,Tennis Court,2026-09-22,07:00 - 08:00,380000,Booked
4179_10310_08:00,4179,The Raquette Temple Sunter,10310,Tennis Court,2026-09-22,08:00 - 09:00,380000,Booked
4179_10313_06:00,4179,The Raquette Temple Sunter,10313,Padel Court,2026-09-22,06:00 - 07:00,250000,Available
4179_10313_07:00,4179,The Raquette Temple Sunter,10313,Padel Court,2026-09-22,07:00 - 08:00,250000,Available
4179_10313_08:00,4179,The Raquette Temple Sunter,10313,Padel Court,2026-09-22,08:00 - 09:00,250000,Available
3193_7652_07:00,3193,Staple Social Club,7652,STAPLE SOCIAL CLUB,2026-09-22,07:00 - 08:00,175000,Booked
3193_7652_08:00,3193,Staple Social Club,7652,STAPLE SOCIAL CLUB,2026-09-22,08:00 - 09:00,175000,Booked
3013_11045_06:00,3013,X3 Padel,11045,Court A,2026-09-22,06:00 - 07:00,125000,Available
3013_11045_07:00,3013,X3 Padel,11045,Court A,2026-09-22,07:00 - 08:00,125000,Available
3013_11045_08:00,3013,X3 Padel,11045,Court A,2026-09-22,08:00 - 09:00,125000,Booked
3013_11046_06:00,3013,X3 Padel,11046,Court B,2026-09-22,06:00 - 07:00,125000,Available
3013_11046_07:00,3013,X3 Padel,11046,Court B,2026-09-22,07:00 - 08:00,125000,Available
3013_11046_08:00,3013,X3 Padel,11046,Court B,2026-09-22,08:00 - 09:00,125000,Available
3013_11047_06:00,3013,X3 Padel,11047,Court C,2026-09-22,06:00 - 07:00,125000,Available
3013_11047_07:00,3013,X3 Padel,11047,Court C,2026-09-22,07:00 - 08:00,125000,Available
3013_11047_08:00,3013,X3 Padel,11047,Court C,2026-09-22,08:00 - 09:00,125000,Available
3013_11048_06:00,3013,X3 Padel,11048,Court D,2026-09-22,06:00 - 07:00,125000,Available
3013_11048_07:00,3013,X3 Padel,11048,Court D,2026-09-22,07:00 - 08:00,125000,Available
3013_11048_08:00,3013,X3 Padel,11048,Court D,2026-09-22,08:00 - 09:00,125000,Available
3013_11049_06:00,3013,X3 Padel,11049,Center Court,2026-09-22,06:00 - 07:00,150000,Available
3013_11049_07:00,3013,X3 Padel,11049,Center Court,2026-09-22,07:00 - 08:00,150000,Available
3013_11049_08:00,3013,X3 Padel,11049,Center Court,2026-09-22,08:00 - 09:00,150000,Available
1281_2371_07:00,1281,RacketGo Sunter,2371,Tennis Blue Court,2026-09-22,07:00 - 08:00,225000,Booked
1281_2371_08:00,1281,RacketGo Sunter,2371,Tennis Blue Court,2026-09-22,08:00 - 09:00,225000,Booked
1281_2372_07:00,1281,RacketGo Sunter,2372,Tennis Purple Court,2026-09-22,07:00 - 08:00,225000,Available
1281_2372_08:00,1281,RacketGo Sunter,2372,Tennis Purple Court,2026-09-22,08:00 - 09:00,225000,Booked
1281_2373_07:00,1281,RacketGo Sunter,2373,Tennis Orange Court,2026-09-22,07:00 - 08:00,225000,Booked
1281_2373_08:00,1281,RacketGo Sunter,2373,Tennis Orange Court,2026-09-22,08:00 - 09:00,225000,Booked
1281_2374_07:00,1281,RacketGo Sunter,2374,Yellow Padel,2026-09-22,07:00 - 08:00,225000,Available
1281_2374_08:00,1281,RacketGo Sunter,2374,Yellow Padel,2026-09-22,08:00 - 09:00,225000,Available
1281_2375_07:00,1281,RacketGo Sunter,2375,Pink Padel,2026-09-22,07:00 - 08:00,225000,Available
1281_2375_08:00,1281,RacketGo Sunter,2375,Pink Padel,2026-09-22,08:00 - 09:00,225000,Available
1697_3473_06:00,1697,Urban Racquet Club,3473,Padel A,2026-09-22,06:00 - 07:00,200000,Available
1697_3473_07:00,1697,Urban Racquet Club,3473,Padel A,2026-09-22,07:00 - 08:00,200000,Booked
1697_3473_08:00,1697,Urban Racquet Club,3473,Padel A,2026-09-22,08:00 - 09:00,200000,Available
1697_3572_06:00,1697,Urban Racquet Club,3572,Padel B,2026-09-22,06:00 - 07:00,200000,Available
1697_3572_07:00,1697,Urban Racquet Club,3572,Padel B,2026-09-22,07:00 - 08:00,200000,Available
